restaurante,reseña,rating,rating_predicho,error_prediccion,sentimiento,longitud
Terrat,"De los mejores rooftops que he visitado en la Ciudad de Panamá. La vista panorámica es impresionante y le da un toque único a toda la experiencia. La comida estuvo deliciosa, con opciones variadas y bien preparadas. La música y el ambiente Más",5.0,4.41,0.5899999999999999,positivo,243
Terrat,Si buscas probar las hamburguesas del burger week 2026 está definitivamente es una de mis favoritas en especial porq tiene queso frito que le da un sabor único y diferente un plus viene un chocolate oscuro. Más,3.0,3.72,0.7200000000000002,positivo,210
Terrat,"Nuestra primera vez en Terrat fue en un evento grupal con unos 15 amigos. Nuestra mesa reservada estaba en la zona de asientos más alta, lo que nos permitió disfrutar de una buena vista de la zona y de la agradable brisa de la noche. Más",5.0,4.93,0.07000000000000028,positivo,237
Terrat,"Genuinamente el lugar es precioso y la atención es perfecta, pero la comida y la relación calidad y precio es muy mala , realmente la comida no estuvo buena tal vez a mi gusto considero que solo el aspecto era lindo pero el sabor era amargo , realmente la comida todo lo demás es muy lindo los tragos son deliciosos. Más",3.0,3.85,0.8500000000000001,positivo,320
Terrat,"tiene buenos cócteles y buenas entradas. la comida es buena, pero cara. Hay que tener un poco de cuidado y reservar cuando hay happy hour u otros eventos. el estacionamiento es un poco complicado pero se puede dejar en valet parking. los Más",4.0,4.04,0.040000000000000036,positivo,241
Terrat,"El servicio es bueno, el personal bien atento, amable y rápidos. Un vistazo al bar y ver una cantidad de pedidos que iban saliendo sin demorar. Aprovechen los cócteles del Happy Sunset. El ambiente agradable y la vista panorámica de la ciudad. No tienen estacionamientos propios, sino valet parking. Más",5.0,4.7,0.2999999999999998,positivo,303
Terrat,"La atencion era regular pero la comida tienes muchas fallas, pedir una cerveza toma hasta 20 min y llega caliente, la comida no demora tanto y aun asi llega fria las porciones vs el valor no valen la pena sirven poco, el wild rice el arro Más",1.0,1.25,0.25,negativo,242
Terrat,"Servicio, vibra y comida espectacular, llegamos y la host nos recibio de una manera super acogerora y al instante nos hizo sentir en casa, luego Howard tomo la rienda de la fiesta y nos hizo la mejor noche!. Más",5.0,4.9,0.09999999999999964,positivo,211
Terrat,"Visitar Terrac Roof Top es una experiencia que combina lo mejor de un buen ambiente, excelente atención y comida deliciosa con una vista espectacular. Desde que llegas, se siente una vibra fresca y agradable, ideal para relajarse con Más",5.0,4.93,0.07000000000000028,positivo,237
Terrat,Atención super buena. El hambiente es súper agradable. las picadas y cócteles buen precio y deliciosas Más,5.0,5.0,0.0,positivo,106
Terrat,"Tuve una buena experiencia con este lugar. El ambiente muy bueno, la atención fue rápida y la comida llegaba rápido a la mesa, yo me comí un bowl y unas mini hamburguesas, el bowl estaba delicioso y las hamburguesas solamente las sentí un Más",5.0,4.89,0.11000000000000032,positivo,242
Terrat,Terrat ofrece excelente ambiente para after office y pasar una rica velada con amigos. Siempre con buenas promos y paquete de cumple. Más,5.0,4.99,0.009999999999999787,positivo,137
Terrat,"Excelente sitio para tomarse unos tragos al final de la tarde y oir buena musica. El ambiente es muy agradable. Un rooftop abierto pero no hace calor, esta muy bien ventilado. La atención es excelente. Más",5.0,4.93,0.07000000000000028,positivo,205
Terrat,"Comida prácticamente coreana. Compramos el caribean rice y el wild rice, estaba bueno sin embargo la porción era bastante pequeña (Caribbean rice) Y El wild tiene un toque pequeño picante... Solo tiene valet parking... Más",4.0,4.13,0.1299999999999999,positivo,222
Terrat,"Un ambiente increíble y con una super buena vibra! El concepto del menú es para llevar varias opciones al centro de la mesa y compartir, los sabores y texturas WOW! Más",5.0,4.88,0.1200000000000001,positivo,168
Terrat,"Fui un lunes y me atendieron muy bien. El lugar es hermoso, con personas realmente interesadas en tratarte bien. Y los pedidos llegan muy rápido. Realmente súper recomendado, comida excelente. Más",5.0,4.99,0.009999999999999787,positivo,196
Terrat,Gran servicio en un gran lugar. Excelente rooftop. La cena estuvo muy muy buena.Comida: 5 Más,5.0,4.79,0.20999999999999996,positivo,93
Terrat,"Me gustó mucho el lugar, sara me ayudo a reservar y a acomodar mis invitados, excelente servicio de su parte y del resto del staff, la comida muy buena y a buen precio, además de diferente y el ambiente uff, me gustó la música en vivo y el lugar es espacioso y muy bonito, se siente acogedor. Los tragos tienes buenos precios. Más",5.0,4.59,0.41000000000000014,positivo,330
Terrat,"Los platos los trajeron a distintos tiempos, frios y encima se olvidaron de 1, pasó 1 hora y le tuvimos que decir a la mesera que había olvidado un plato, a lo que su respuesta fue no le dijimos pero eso es mentira, porque primero me tomó Más",1.0,1.92,0.9199999999999999,neutral,242
Terrat,"Super buen lugar! Toda una experiencia. No tan caro como otros rooftops, comida a OTRO NIVEL Decoración divina. Más",5.0,3.88,1.12,negativo,115
Terrat,"Ideal para terminar un día de caminata turística observando un colorido atardecer panameño, muy alegre y buena carta . Más",5.0,4.89,0.11000000000000032,positivo,122
Terrat,"El recibimiento, el ambiente y la atención es magnífica! La comida exquisita! Un ambiente acogedor rodeado por una vista maravillosa de la ciudad. Más",5.0,3.19,1.81,positivo,150
Terrat,Excelente ambiente. Nos servimos unas picadas que estuvieron bastante bien. Recomiendo el sitio.Tipo Más,5.0,5.0,0.0,positivo,104
Terrat,"Me gustó mucho esta terraza, la atención muy buena y excelente ambiente con música en vivo cuando fui. Lo recomiendo Más",5.0,4.99,0.009999999999999787,positivo,120
Terrat,"Pasamos un rato inolvidable, la atención fue de primera, la comida riquísima , el ambiente espectacular, mil gracias 100 recomendado Más",5.0,4.99,0.009999999999999787,positivo,136
Terrat,"cuito dos estrellas a la comida.porque es muy corroente y carisima, excelente la location y las bebidas, cara la cuenta Más",5.0,4.89,0.11000000000000032,positivo,123
Terrat,"Es triste que no te den la importancia solo por no ser corporativo . Mi familia hizo una reservación para un grupo de personas grande, la cual ya había sido aprobada con antelación y el día de hoy nos llaman diciéndonos que ya no se Más",1.0,1.3,0.30000000000000004,negativo,236
Terrat,"Cócteles deliciosos y comida fusión super rica y diferente. Muy buen ambiente y misica en vivo. Le quito puntos por que la atención fue bastante mala. Nos ignoraron varios saloneros por mucho tiempo asique hubo un momento en el que tuvimos que esperar 45 minutos para pedir y ya finalmente decidimos irnos. Ademas de eso, todo genial. Más",3.0,3.52,0.52,positivo,338
Terrat,"La noche en Terrat fue simplemente increíble . El ambiente tropical, la música y las vistas crearon una experiencia única. La comida estaba deliciosa, cada plato con un sabor espectacular, y la atención del equipo fue de primer nivel, siempre amables y atentos a cada detalle. ¡Sin duda, un lugar al que siempre querré volver! Más",5.0,4.92,0.08000000000000007,positivo,330
Terrat,"La comida está sabrosa pero la atención es menos de 1 está fatal, nos mintieron en el menú, no nos atendieron, fatal no volvería hay muchos lugares con comida rica en Panama para volver Más",1.0,4.48,3.4800000000000004,positivo,189
Terrat,Muy cool el ambiente y la comida. Algunas cosas overpriced para lo que era pero en general bastante bien el chico que nos atendió 10 10 creo que se llama wilbert o algo así Más,5.0,4.12,0.8799999999999999,positivo,176
Terrat,"Hice una reserva para celebrar mi cumpleaños y desde el primer momento fueron muy atentos. Me ayudaron con un espacio adecuado para mi grupo, la atención en el lugar fue cordial, la comida y las bebidas no demoraban en lo absoluto a pesar que el restaurante estaba lleno y el ambiente es muy bueno. Más",5.0,4.41,0.5899999999999999,positivo,302
Terrat,Un lugar increíble con una vibra deliciosa. La música te permite conversar y tener una velada amena entre amigos. Más,5.0,4.57,0.4299999999999997,positivo,117
Terrat,En mi experiencia la mejor y creo única rooftop para parkear e ir por unos tragos en San Francisco. El ambiente acá nunca defrauda y es perfecto para ir con amigos a disfrutar. La comida no es la mejor pero para picar algo en medio de los tragos pues es más que suficiente. Más,5.0,4.74,0.2599999999999998,positivo,277
Terrat,Deliciosa comida. Excelente ambiente para ir con amigos.Tipo de pedido Más,5.0,5.0,0.0,positivo,74
Terrat,"Uno de las mejores terrazas en el centro. Los precios sí están inflados, muy común en la zona. El servicio y el ambiente es buenos. Más",4.0,4.35,0.34999999999999964,positivo,135
Terrat,No estaba tan lleno pero la atención es mala y su menú muy reducido ; tiene una terraza bonita pero debes reservar .,3.0,3.43,0.43000000000000016,neutral,116
Terrat,"Excelente atención, buena comida, lindo lugar. Hay pocos lugares para estacionarTipo de comida Más",5.0,4.88,0.1200000000000001,positivo,98
Terrat,"Muy buen ambiente, servicio muy atento y rápido, todo lo que probamos estaba muy bueno, luego único que no estaba muy bueno fue la entraña con patacones el patacones frío y algo duro Más",4.0,4.06,0.05999999999999961,positivo,186
Terrat,Buen rico todo. La chica que nos atendió Súper amable!Comida: 5 Más,5.0,5.0,0.0,positivo,67
Terrat,"Celebre un cumpleaños reservando con un paquete (que estaba a un precio excelente) y todos sin excepción la pasamos muy bien, recomendado. Más",5.0,4.99,0.009999999999999787,positivo,142
Terrat,Muy buen ambiente y servicio. La hamburguesa muy sabrosaComida: 5 Más,5.0,5.0,0.0,positivo,69
Terrat,"Me gusto mucho este lugar, el ambiente muy agradable.Tipo de pedidoCon Más",5.0,4.87,0.1299999999999999,positivo,74
Terrat,Realmente me encantó todas las opciones de comida que tiene. Los tragos son muy ricos y la atención es super dedicada a cada cliente. Más,5.0,4.99,0.009999999999999787,positivo,137
Terrat,"hice una reserva me cobraron 250 dólares por la reserva, solo fuimos por 2 horas, cenamos y cuando pedimos la cuenta nos dio 193, les dije que ya yo tenía un depósito y me dijeron que tenía q consumirnos todo los 250. Y yo pero ya Más",1.0,3.21,2.21,neutral,234
Terrat,"Me pareció muy bonito ,agradable ,la música la comida. pero no nos gustó que el mesero prácticamente nos sacó por qué fuimos con niños y pues nos tocó comer rapido y tomarnos todo rápido ...era insistente ya pasó de cansón ..por lo menos no iría con niños nuevamente . Más",4.0,3.83,0.16999999999999993,positivo,272
